Type of crime,id,Year,Number of cases,"Rate per 100,000 people"
House break-ins,Johor,2017,1211,32.12
House break-ins,Kedah,2017,1350,62.06
House break-ins,Kelantan,2017,570,30.85
House break-ins,Kuala Lumpur,2017,1188,60.81
House break-ins,Melaka,2017,567,61.54
House break-ins,Negeri Sembilan,2017,895,79.27
House break-ins,Pahang,2017,794,47.29
House break-ins,Perak,2017,859,33.71
House break-ins,Perlis,2017,87,33.93
House break-ins,Penang,2017,868,49.69
House break-ins,Sabah,2017,1908,48.27
House break-ins,Sarawak,2017,1314,47.11
House break-ins,Selangor,2017,4133,64.57
House break-ins,Terengganu,2017,456,37.33
