Type of crime,id,Year,Number of cases,"Rate per 100,000 people"
Van/Lorry Theft,Johor,2017,274,7.27
Van/Lorry Theft,Kedah,2017,81,3.72
Van/Lorry Theft,Kelantan,2017,98,5.3
Van/Lorry Theft,Kuala Lumpur,2017,291,14.9
Van/Lorry Theft,Melaka,2017,27,2.93
Van/Lorry Theft,Negeri Sembilan,2017,64,5.67
Van/Lorry Theft,Pahang,2017,56,3.34
Van/Lorry Theft,Perak,2017,81,3.18
Van/Lorry Theft,Perlis,2017,5,1.95
Van/Lorry Theft,Penang,2017,65,3.72
Van/Lorry Theft,Sabah,2017,116,2.93
Van/Lorry Theft,Sarawak,2017,75,2.69
Van/Lorry Theft,Selangor,2017,844,13.19
Van/Lorry Theft,Terengganu,2017,22,1.8
