Type of crime,id,Year,Number of cases,"Rate per 100,000 people"
Armed Group Robbery,Johor,2018,2,0.05
Armed Group Robbery,Kedah,2018,2,0.09
Armed Group Robbery,Kelantan,2018,4,0.21
Armed Group Robbery,Kuala Lumpur,2018,3,0.15
Armed Group Robbery,Melaka,2018,1,0.11
Armed Group Robbery,Negeri Sembilan,2018,0,0.0
Armed Group Robbery,Pahang,2018,2,0.12
Armed Group Robbery,Perak,2018,1,0.04
Armed Group Robbery,Perlis,2018,0,0.0
Armed Group Robbery,Penang,2018,0,0.0
Armed Group Robbery,Sabah,2018,1,0.02
Armed Group Robbery,Sarawak,2018,3,0.11
Armed Group Robbery,Selangor,2018,11,0.17
Armed Group Robbery,Terengganu,2018,1,0.08
