Type of crime,id,Year,Number of cases,"Rate per 100,000 people"
Car Theft,Johor,2018,1035,27.07
Car Theft,Kedah,2018,366,16.59
Car Theft,Kelantan,2018,489,25.95
Car Theft,Kuala Lumpur,2018,1482,75.16
Car Theft,Melaka,2018,104,11.13
Car Theft,Negeri Sembilan,2018,151,13.24
Car Theft,Pahang,2018,156,9.16
Car Theft,Perak,2018,286,11.13
Car Theft,Perlis,2018,14,5.4
Car Theft,Penang,2018,350,19.81
Car Theft,Sabah,2018,160,3.98
Car Theft,Sarawak,2018,386,13.64
Car Theft,Selangor,2018,2358,36.23
Car Theft,Terengganu,2018,77,6.18
