Type of crime,id,Year,Number of cases,"Rate per 100,000 people"
Unarmed Group Robbery,Johor,2018,740,19.36
Unarmed Group Robbery,Kedah,2018,353,16.0
Unarmed Group Robbery,Kelantan,2018,139,7.38
Unarmed Group Robbery,Kuala Lumpur,2018,1344,68.16
Unarmed Group Robbery,Melaka,2018,175,18.72
Unarmed Group Robbery,Negeri Sembilan,2018,288,25.24
Unarmed Group Robbery,Pahang,2018,164,9.63
Unarmed Group Robbery,Perak,2018,365,14.21
Unarmed Group Robbery,Perlis,2018,17,6.56
Unarmed Group Robbery,Penang,2018,301,17.03
Unarmed Group Robbery,Sabah,2018,71,1.77
Unarmed Group Robbery,Sarawak,2018,214,7.56
Unarmed Group Robbery,Selangor,2018,2314,35.55
Unarmed Group Robbery,Terengganu,2018,58,4.66
