Type of crime,id,Year,Number of cases,"Rate per 100,000 people"
Armed Robbery,Johor,2019,0,0.0
Armed Robbery,Kedah,2019,2,0.09
Armed Robbery,Kelantan,2019,0,0.0
Armed Robbery,Kuala Lumpur,2019,2,0.1
Armed Robbery,Melaka,2019,0,0.0
Armed Robbery,Negeri Sembilan,2019,0,0.0
Armed Robbery,Pahang,2019,0,0.0
Armed Robbery,Perak,2019,0,0.0
Armed Robbery,Perlis,2019,0,0.0
Armed Robbery,Penang,2019,0,0.0
Armed Robbery,Sabah,2019,0,0.0
Armed Robbery,Sarawak,2019,0,0.0
Armed Robbery,Selangor,2019,4,0.06
Armed Robbery,Terengganu,2019,0,0.0
