Type of crime,id,Year,Number of cases,"Rate per 100,000 people"
Harming,Johor,2019,599,15.46
Harming,Kedah,2019,329,14.71
Harming,Kelantan,2019,178,9.26
Harming,Kuala Lumpur,2019,506,25.44
Harming,Melaka,2019,164,17.31
Harming,Negeri Sembilan,2019,258,22.4
Harming,Pahang,2019,226,13.09
Harming,Perak,2019,419,16.17
Harming,Perlis,2019,60,22.9
Harming,Penang,2019,341,19.08
Harming,Sabah,2019,221,5.41
Harming,Sarawak,2019,335,11.68
Harming,Selangor,2019,960,14.51
Harming,Terengganu,2019,118,9.29
