Type of crime,id,Year,Number of cases,"Rate per 100,000 people"
Motorcycle Theft,Johor,2019,3471,89.59
Motorcycle Theft,Kedah,2019,2192,98.0
Motorcycle Theft,Kelantan,2019,1069,55.63
Motorcycle Theft,Kuala Lumpur,2019,2763,138.92
Motorcycle Theft,Melaka,2019,718,75.78
Motorcycle Theft,Negeri Sembilan,2019,630,54.69
Motorcycle Theft,Pahang,2019,713,41.3
Motorcycle Theft,Perak,2019,1360,52.49
Motorcycle Theft,Perlis,2019,89,33.97
Motorcycle Theft,Penang,2019,1704,95.36
Motorcycle Theft,Sabah,2019,436,10.67
Motorcycle Theft,Sarawak,2019,1393,48.56
Motorcycle Theft,Selangor,2019,5503,83.2
Motorcycle Theft,Terengganu,2019,466,36.7
