Type of crime,id,Year,Number of cases,"Rate per 100,000 people"
Unarmed Robbery,Johor,2019,328,8.47
Unarmed Robbery,Kedah,2019,163,7.29
Unarmed Robbery,Kelantan,2019,87,4.53
Unarmed Robbery,Kuala Lumpur,2019,1091,54.85
Unarmed Robbery,Melaka,2019,118,12.45
Unarmed Robbery,Negeri Sembilan,2019,172,14.93
Unarmed Robbery,Pahang,2019,86,4.98
Unarmed Robbery,Perak,2019,167,6.45
Unarmed Robbery,Perlis,2019,21,8.02
Unarmed Robbery,Penang,2019,218,12.2
Unarmed Robbery,Sabah,2019,90,2.2
Unarmed Robbery,Sarawak,2019,139,4.85
Unarmed Robbery,Selangor,2019,922,13.94
Unarmed Robbery,Terengganu,2019,44,3.47
