Year,Education level,Number of drug addicts,Population size
2017,None,3751,32391800
2017,Primary,2370,32391800
2017,Secondary,9082,32391800
2017,SPM,9311,32391800
2017,STPM,166,32391800
2017,Diploma,473,32391800
2017,Master/PHD,113,32391800
2018,None,4044,32863200
2018,Primary,2118,32863200
2018,Secondary,8451,32863200
2018,SPM,9114,32863200
2018,STPM,166,32863200
2018,Diploma,540,32863200
2018,Master/PHD,114,32863200
2019,None,3545,33324900
2019,Primary,2301,33324900
2019,Secondary,8843,33324900
2019,SPM,9678,33324900
2019,STPM,154,33324900
2019,Diploma,620,33324900
2019,Master/PHD,129,33324900
