Type of crime,id,Year,Number of cases,"Rate per 100,000 people"
Murder,Johor,2017,66,1.75
Rape,Johor,2017,196,5.2
Armed Group Robbery,Johor,2017,1,0.03
Unarmed Group Robbery,Johor,2017,1220,32.36
Armed Robbery,Johor,2017,0,0
Unarmed Group Robbery,Johor,2017,481,12.76
Harming,Johor,2017,614,16.29
Theft ( Others ),Johor,2017,2032,53.89
Car Theft,Johor,2017,1097,29.1
Motorcycle Theft,Johor,2017,4104,108.85
Van/Lorry Theft,Johor,2017,274,7.27
Snatch theft,Johor,2017,11,0.29
House break-ins,Johor,2017,1211,32.12
Murder,Kedah,2017,21,0.97
Rape,Kedah,2017,119,5.47
Armed Group Robbery,Kedah,2017,2,0.09
Unarmed Group Robbery,Kedah,2017,333,15.31
Armed Robbery,Kedah,2017,0,0
Unarmed Group Robbery,Kedah,2017,157,7.22
Harming,Kedah,2017,364,16.73
Theft ( Others ),Kedah,2017,1079,49.6
Car Theft,Kedah,2017,378,17.38
Motorcycle Theft,Kedah,2017,2846,130.84
Van/Lorry Theft,Kedah,2017,81,3.72
Snatch theft,Kedah,2017,29,1.33
House break-ins,Kedah,2017,1350,62.06
Murder,Kelantan,2017,13,0.7
Rape,Kelantan,2017,114,6.17
Armed Group Robbery,Kelantan,2017,2,0.11
Unarmed Group Robbery,Kelantan,2017,141,7.63
Armed Robbery,Kelantan,2017,0,0
Unarmed Group Robbery,Kelantan,2017,78,4.22
Harming,Kelantan,2017,252,13.64
Theft ( Others ),Kelantan,2017,547,29.61
Car Theft,Kelantan,2017,722,39.08
Motorcycle Theft,Kelantan,2017,1983,107.34
Van/Lorry Theft,Kelantan,2017,98,5.3
Snatch theft,Kelantan,2017,0,0
House break-ins,Kelantan,2017,570,30.85
Murder,Kuala Lumpur,2017,37,1.89
Rape,Kuala Lumpur,2017,132,6.76
Armed Group Robbery,Kuala Lumpur,2017,4,0.2
Unarmed Group Robbery,Kuala Lumpur,2017,1984,101.56
Armed Robbery,Kuala Lumpur,2017,0,0
Unarmed Group Robbery,Kuala Lumpur,2017,1191,60.97
Harming,Kuala Lumpur,2017,651,33.32
Theft ( Others ),Kuala Lumpur,2017,3121,159.76
Car Theft,Kuala Lumpur,2017,1548,79.24
